company_id,move_id,move_type,name,ref,payment_reference,src_state,aeat_send_error
1,500,in_invoice,S/FRA/2021/0332,AF/0860/02,"",sent,""
1,510,in_invoice,S/FRA/2021/0333,AF/1364/02,"",sent,""
1,562,in_invoice,S/FRA/2021/0380,Q210050983,"",sent,""
1,563,in_invoice,S/FRA/2021/0379,AN141,"",sent,""
1,573,in_invoice,S/FRA/2021/0369,312-KF21-14080,"",sent,""
1,574,in_invoice,S/FRA/2021/0368,A10016349459-0921,"",sent,""
1,575,in_invoice,S/FRA/2021/0367,148/2021,"",sent,""
1,576,in_invoice,S/FRA/2021/0366,2021-306,"",sent,""
1,578,in_invoice,S/FRA/2021/0364,A/21-0136,"",sent,""
1,579,in_invoice,S/FRA/2021/0363,001G000417,"",sent,""
1,580,in_invoice,S/FRA/2021/0362,001D000271,"",sent,""
1,581,in_invoice,S/FRA/2021/0361,001D000269,"",sent,""
1,582,in_invoice,S/FRA/2021/0360,2.907/F,"",sent,""
1,583,in_invoice,S/FRA/2021/0359,2.906/F,"",sent,""
1,584,in_invoice,S/FRA/2021/0358,2.905/F,"",sent,""
1,585,in_invoice,S/FRA/2021/0357,2.903/F,"",sent,""
1,586,in_invoice,S/FRA/2021/0356,2.902/F,"",sent,""
1,587,in_invoice,S/FRA/2021/0355,2.899/F,"",sent,""
1,588,in_invoice,S/FRA/2021/0354,2.901/F,"",sent,""
1,589,in_invoice,S/FRA/2021/0353,2.904/F,"",sent,""
1,590,in_invoice,S/FRA/2021/0352,2.889/F,"",sent,""
1,591,in_invoice,S/FRA/2021/0351,2.888/F,"",sent,""
1,592,in_invoice,S/FRA/2021/0350,20211021,"",sent,""
1,24409,in_invoice,S/FRA/2025/0330,A 2594,"",sent,""
1,594,in_invoice,S/FRA/2021/0348,5247,"",sent,""
1,595,in_invoice,S/FRA/2021/0347,3.949 A,"",sent,""
1,596,in_invoice,S/FRA/2021/0346,3.984 A,"",sent,""
1,597,in_invoice,S/FRA/2021/0345,3.702 A,"",sent,""
1,598,in_invoice,S/FRA/2021/0344,VF21-09-0074,"",sent,""
1,600,in_invoice,S/FRA/2021/0342,21FCP00041,"",sent,""
1,601,in_invoice,S/FRA/2021/0341,A01/21,"",sent,""
1,602,in_invoice,S/FRA/2021/0340,218,"",sent,""
1,603,in_invoice,S/FRA/2021/0339,217,"",sent,""
1,16228,in_invoice,S/FRA/2023/1163,AL 23000766,"",sent,""
1,607,in_invoice,S/FRA/2021/0337,21-0019,"",sent,""
1,608,in_invoice,S/FRA/2021/0336,A2106224,"",sent,""
1,609,in_invoice,S/FRA/2021/0335,13,"",sent,""
1,610,in_invoice,S/FRA/2021/0334,1169-2021,"",sent,""
1,11681,in_invoice,S/FRA/2023/0800,18742301P0123415,"",not_sent,3000 | Factura duplicada
1,12371,in_invoice,S/FRA/2023/0875,1844-GF,"",not_sent,3000 | Factura duplicada
1,13367,in_invoice,S/FRA/2023/0877,FV21613,FV21613,not_sent,3000 | Factura duplicada
1,13499,in_invoice,S/FRA/2023/0876,FV21619,FV21619,not_sent,3000 | Factura duplicada
1,13570,in_invoice,S/FRA/2023/0804,FO3/1598,"",not_sent,3000 | Factura duplicada
1,13870,in_invoice,S/FRA/2023/0789,65255,"",sent,""
1,14074,in_invoice,S/FRA/2023/0751,152-23,"",not_sent,3000 | Factura duplicada
1,14075,in_invoice,S/FRA/2023/0734,6159,"",not_sent,3000 | Factura duplicada
1,14076,in_invoice,S/FRA/2023/0770,20,"",not_sent,3000 | Factura duplicada
1,14100,in_invoice,S/FRA/2023/0765,1638812,"",not_sent,3000 | Factura duplicada
1,14101,in_invoice,S/FRA/2023/0664,1180184138,NEXT,not_sent,3000 | Factura duplicada
1,14102,in_invoice,S/FRA/2023/0656,5-2023,"",sent,""
1,14103,in_invoice,S/FRA/2023/0654,D23 411,"",sent,""
1,14104,in_invoice,S/FRA/2023/0733,006/2023,"",not_sent,3000 | Factura duplicada
1,14106,in_invoice,S/FRA/2023/0774,009/2023,"",not_sent,3000 | Factura duplicada
1,14109,in_invoice,S/FRA/2023/0772,05/2023,"",not_sent,3000 | Factura duplicada
1,14125,in_invoice,S/FRA/2023/0790,2023000942,"",not_sent,3000 | Factura duplicada
1,14127,in_invoice,S/FRA/2023/0659,34/2023,"",not_sent,3000 | Factura duplicada
1,14128,in_invoice,S/FRA/2023/0653,143/2023,"",sent,""
1,14132,in_invoice,S/FRA/2023/0652,140/2023,"",sent,""
1,14140,in_invoice,S/FRA/2023/0658,0151-2023,"",not_sent,3000 | Factura duplicada
1,14144,in_invoice,S/FRA/2023/0670,A000032485,"",not_sent,3000 | Factura duplicada
1,14162,in_invoice,S/FRA/2023/0671,38/2023,"",not_sent,3000 | Factura duplicada
1,14358,in_invoice,S/FRA/2023/0748,1NSN230400036325,"",not_sent,3000 | Factura duplicada
1,24180,in_invoice,S/FRA/2025/0279,1NSN250300599637,"",sent,""
1,14165,in_invoice,S/FRA/2023/0701,INV-ES-1582215085-2023-83,"",not_sent,3000 | Factura duplicada
1,9210,in_invoice,S/FRA/2022/1048,07/2022,"",sent,""
1,14168,in_invoice,S/FRA/2023/0668,95-211053,"",not_sent,3000 | Factura duplicada
1,14169,in_invoice,S/FRA/2023/0667,95-211244,"",not_sent,3000 | Factura duplicada
